"","X","AllScores","AllAiScores","filename","kaiscore","AiRanges","aiRange","kaiscore_numeric","mean_score","sd_score","max_score","mean_kaiscore","max_kaiscore","min_kaiscore","true_range"
"1",0,56050.6020945219,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107,107,107,0
"2",1,53977.1193814971,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107,107,107,0
"3",2,56305.5891567436,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107,107,107,0
"4",3,51049.8991644708,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107,107,107,0
"5",4,52466.3355979122,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107,107,107,0
"6",5,52841.8124757922,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107,107,107,0
"7",6,55832.0402988947,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107,107,107,0
"8",7,53320.8416543583,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107,107,107,0
"9",8,54171.3754706758,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107,107,107,0
"10",9,53404.4497332948,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107,107,107,0
"11",10,55983.2615121715,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107,107,107,0
"12",11,51337.44156519,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107,107,107,0
"13",12,55046.5218677946,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107,107,107,0
"14",13,54560.2842282326,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107,107,107,0
"15",14,56665.2249060747,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107,107,107,0
"16",15,55433.5933340057,0,"results/rawdata/Car_ai107.csv","107","0",0,107,53796.0659148347,2354.60949625794,56789.0322708124,107,107,107,0
"17",16,53893.9132645952,20,"results/rawdata/Car_ai107.csv","107","20",20,107,53591.7342956242,1974.2855965791,55892.0943630698,107,117,97,20
"18",17,54395.4123726104,20,"results/rawdata/Car_ai107.csv","107","20",20,107,53591.7342956242,1974.2855965791,55892.0943630698,107,117,97,20
"19",18,54555.4053694653,20,"results/rawdata/Car_ai107.csv","107","20",20,107,53591.7342956242,1974.2855965791,55892.0943630698,107,117,97,20
"20",19,52677.0986925601,20,"results/rawdata/Car_ai107.csv","107","20",20,107,53591.7342956242,1974.2855965791,55892.0943630698,107,117,97,20
"21",20,54374.3597948514,20,"results/rawdata/Car_ai107.csv","107","20",20,107,53591.7342956242,1974.2855965791,55892.0943630698,107,117,97,20
"22",21,55892.0943630698,20,"results/rawdata/Car_ai107.csv","107","20",20,107,53591.7342956242,1974.2855965791,55892.0943630698,107,117,97,20
"23",22,54566.8974033284,20,"results/rawdata/Car_ai107.csv","107","20",20,107,53591.7342956242,1974.2855965791,55892.0943630698,107,117,97,20
"24",23,54295.1113637012,20,"results/rawdata/Car_ai107.csv","107","20",20,107,53591.7342956242,1974.2855965791,55892.0943630698,107,117,97,20
"25",24,54203.8168966352,20,"results/rawdata/Car_ai107.csv","107","20",20,107,53591.7342956242,1974.2855965791,55892.0943630698,107,117,97,20
"26",25,54100.6215904562,20,"results/rawdata/Car_ai107.csv","107","20",20,107,53591.7342956242,1974.2855965791,55892.0943630698,107,117,97,20
"27",26,53650.6671023792,20,"results/rawdata/Car_ai107.csv","107","20",20,107,53591.7342956242,1974.2855965791,55892.0943630698,107,117,97,20
"28",27,53201.1655241077,20,"results/rawdata/Car_ai107.csv","107","20",20,107,53591.7342956242,1974.2855965791,55892.0943630698,107,117,97,20
"29",28,55804.0849711462,20,"results/rawdata/Car_ai107.csv","107","20",20,107,53591.7342956242,1974.2855965791,55892.0943630698,107,117,97,20
"30",29,55295.9828373661,20,"results/rawdata/Car_ai107.csv","107","20",20,107,53591.7342956242,1974.2855965791,55892.0943630698,107,117,97,20
"31",30,52608.0730854379,20,"results/rawdata/Car_ai107.csv","107","20",20,107,53591.7342956242,1974.2855965791,55892.0943630698,107,117,97,20
"32",31,54063.2664250992,20,"results/rawdata/Car_ai107.csv","107","20",20,107,53591.7342956242,1974.2855965791,55892.0943630698,107,117,97,20
"33",32,52285.4698021246,40,"results/rawdata/Car_ai107.csv","107","40",40,107,53147.86825178,2752.51438499076,57628.4255256692,107,127,87,40
"34",33,55825.9074673208,40,"results/rawdata/Car_ai107.csv","107","40",40,107,53147.86825178,2752.51438499076,57628.4255256692,107,127,87,40
"35",34,52542.5143051119,40,"results/rawdata/Car_ai107.csv","107","40",40,107,53147.86825178,2752.51438499076,57628.4255256692,107,127,87,40
"36",35,50989.7769240824,40,"results/rawdata/Car_ai107.csv","107","40",40,107,53147.86825178,2752.51438499076,57628.4255256692,107,127,87,40
"37",36,52337.1430828101,40,"results/rawdata/Car_ai107.csv","107","40",40,107,53147.86825178,2752.51438499076,57628.4255256692,107,127,87,40
"38",37,55630.5711613659,40,"results/rawdata/Car_ai107.csv","107","40",40,107,53147.86825178,2752.51438499076,57628.4255256692,107,127,87,40
"39",38,55464.9214348481,40,"results/rawdata/Car_ai107.csv","107","40",40,107,53147.86825178,2752.51438499076,57628.4255256692,107,127,87,40
"40",39,48264.033294901,40,"results/rawdata/Car_ai107.csv","107","40",40,107,53147.86825178,2752.51438499076,57628.4255256692,107,127,87,40
"41",40,55811.8853363306,40,"results/rawdata/Car_ai107.csv","107","40",40,107,53147.86825178,2752.51438499076,57628.4255256692,107,127,87,40
"42",41,53658.6390926034,40,"results/rawdata/Car_ai107.csv","107","40",40,107,53147.86825178,2752.51438499076,57628.4255256692,107,127,87,40
"43",42,48980.2847399692,40,"results/rawdata/Car_ai107.csv","107","40",40,107,53147.86825178,2752.51438499076,57628.4255256692,107,127,87,40
"44",43,57628.4255256692,40,"results/rawdata/Car_ai107.csv","107","40",40,107,53147.86825178,2752.51438499076,57628.4255256692,107,127,87,40
"45",44,53432.7405543451,40,"results/rawdata/Car_ai107.csv","107","40",40,107,53147.86825178,2752.51438499076,57628.4255256692,107,127,87,40
"46",45,55990.0693653092,40,"results/rawdata/Car_ai107.csv","107","40",40,107,53147.86825178,2752.51438499076,57628.4255256692,107,127,87,40
"47",46,56487.5907266144,40,"results/rawdata/Car_ai107.csv","107","40",40,107,53147.86825178,2752.51438499076,57628.4255256692,107,127,87,40
"48",47,48667.4452149576,40,"results/rawdata/Car_ai107.csv","107","40",40,107,53147.86825178,2752.51438499076,57628.4255256692,107,127,87,40
"49",48,55686.8897073508,60,"results/rawdata/Car_ai107.csv","107","60",60,107,53941.6092521334,3847.47311879504,58779.7742341753,107,137,77,60
"50",49,54220.2066602822,60,"results/rawdata/Car_ai107.csv","107","60",60,107,53941.6092521334,3847.47311879504,58779.7742341753,107,137,77,60
