"","X","AllScores","AllAiScores","AllScores_flat","filename","orig","kaiscore","AiRanges","aiRange","kaiscore_numeric","mean_score","sd_score","max_score","mean_kaiscore","max_kaiscore","min_kaiscore","true_range"
"1",0,-15.3148861351833,0,-15.3148861351833,"results/rawdata/Beam_ai107.csv",1,"107","0",0,107,-15.4788296729573,0.695897886721202,-14.1355846837306,107,107,107,0
"2",1,-15.8246024714495,0,-15.8246024714495,"results/rawdata/Beam_ai107.csv",1,"107","0",0,107,-15.4788296729573,0.695897886721202,-14.1355846837306,107,107,107,0
"3",2,-15.5839863413298,0,-15.5839863413298,"results/rawdata/Beam_ai107.csv",1,"107","0",0,107,-15.4788296729573,0.695897886721202,-14.1355846837306,107,107,107,0
"4",3,-15.1296904958546,0,-15.1296904958546,"results/rawdata/Beam_ai107.csv",1,"107","0",0,107,-15.4788296729573,0.695897886721202,-14.1355846837306,107,107,107,0
"5",4,-16.5059601145467,0,-16.5059601145467,"results/rawdata/Beam_ai107.csv",1,"107","0",0,107,-15.4788296729573,0.695897886721202,-14.1355846837306,107,107,107,0
"6",5,-17.0937633468458,0,-17.0937633468458,"results/rawdata/Beam_ai107.csv",1,"107","0",0,107,-15.4788296729573,0.695897886721202,-14.1355846837306,107,107,107,0
"7",6,-16.1456430705427,0,-16.1456430705427,"results/rawdata/Beam_ai107.csv",1,"107","0",0,107,-15.4788296729573,0.695897886721202,-14.1355846837306,107,107,107,0
"8",7,-14.7414569469343,0,-14.7414569469343,"results/rawdata/Beam_ai107.csv",1,"107","0",0,107,-15.4788296729573,0.695897886721202,-14.1355846837306,107,107,107,0
"9",8,-16.1217978493117,0,-16.1217978493117,"results/rawdata/Beam_ai107.csv",1,"107","0",0,107,-15.4788296729573,0.695897886721202,-14.1355846837306,107,107,107,0
"10",9,-15.6670327474831,0,-15.6670327474831,"results/rawdata/Beam_ai107.csv",1,"107","0",0,107,-15.4788296729573,0.695897886721202,-14.1355846837306,107,107,107,0
"11",10,-15.9832072296064,0,-15.9832072296064,"results/rawdata/Beam_ai107.csv",1,"107","0",0,107,-15.4788296729573,0.695897886721202,-14.1355846837306,107,107,107,0
"12",11,-14.7649209951868,0,-14.7649209951868,"results/rawdata/Beam_ai107.csv",1,"107","0",0,107,-15.4788296729573,0.695897886721202,-14.1355846837306,107,107,107,0
"13",12,-15.4462058761006,0,-15.4462058761006,"results/rawdata/Beam_ai107.csv",1,"107","0",0,107,-15.4788296729573,0.695897886721202,-14.1355846837306,107,107,107,0
"14",13,-14.6182682795294,0,-14.6182682795294,"results/rawdata/Beam_ai107.csv",1,"107","0",0,107,-15.4788296729573,0.695897886721202,-14.1355846837306,107,107,107,0
"15",14,-15.4261895856285,0,-15.4261895856285,"results/rawdata/Beam_ai107.csv",1,"107","0",0,107,-15.4788296729573,0.695897886721202,-14.1355846837306,107,107,107,0
"16",15,-15.1246160643119,0,-15.1246160643119,"results/rawdata/Beam_ai107.csv",1,"107","0",0,107,-15.4788296729573,0.695897886721202,-14.1355846837306,107,107,107,0
"17",16,-14.3182211035131,20,-14.3182211035131,"results/rawdata/Beam_ai107.csv",1,"107","20",20,107,-15.2816767396926,1.15035901810347,-10.1579435276628,107,117,97,20
"18",17,-16.0789988546036,20,-16.0789988546036,"results/rawdata/Beam_ai107.csv",1,"107","20",20,107,-15.2816767396926,1.15035901810347,-10.1579435276628,107,117,97,20
"19",18,-14.1272191816747,20,-14.1272191816747,"results/rawdata/Beam_ai107.csv",1,"107","20",20,107,-15.2816767396926,1.15035901810347,-10.1579435276628,107,117,97,20
"20",19,-15.5136615090781,20,-15.5136615090781,"results/rawdata/Beam_ai107.csv",1,"107","20",20,107,-15.2816767396926,1.15035901810347,-10.1579435276628,107,117,97,20
"21",20,-15.8650712511503,20,-15.8650712511503,"results/rawdata/Beam_ai107.csv",1,"107","20",20,107,-15.2816767396926,1.15035901810347,-10.1579435276628,107,117,97,20
"22",21,-15.7821041962844,20,-15.7821041962844,"results/rawdata/Beam_ai107.csv",1,"107","20",20,107,-15.2816767396926,1.15035901810347,-10.1579435276628,107,117,97,20
"23",22,-15.5513851540934,20,-15.5513851540934,"results/rawdata/Beam_ai107.csv",1,"107","20",20,107,-15.2816767396926,1.15035901810347,-10.1579435276628,107,117,97,20
"24",23,-15.579448827874,20,-15.579448827874,"results/rawdata/Beam_ai107.csv",1,"107","20",20,107,-15.2816767396926,1.15035901810347,-10.1579435276628,107,117,97,20
"25",24,-16.2681657866304,20,-16.2681657866304,"results/rawdata/Beam_ai107.csv",1,"107","20",20,107,-15.2816767396926,1.15035901810347,-10.1579435276628,107,117,97,20
"26",25,-15.5389420305395,20,-15.5389420305395,"results/rawdata/Beam_ai107.csv",1,"107","20",20,107,-15.2816767396926,1.15035901810347,-10.1579435276628,107,117,97,20
"27",26,-15.4457638099301,20,-15.4457638099301,"results/rawdata/Beam_ai107.csv",1,"107","20",20,107,-15.2816767396926,1.15035901810347,-10.1579435276628,107,117,97,20
"28",27,-14.9985191958393,20,-14.9985191958393,"results/rawdata/Beam_ai107.csv",1,"107","20",20,107,-15.2816767396926,1.15035901810347,-10.1579435276628,107,117,97,20
"29",28,-15.7202426684627,20,-15.7202426684627,"results/rawdata/Beam_ai107.csv",1,"107","20",20,107,-15.2816767396926,1.15035901810347,-10.1579435276628,107,117,97,20
"30",29,-15.5993189278664,20,-15.5993189278664,"results/rawdata/Beam_ai107.csv",1,"107","20",20,107,-15.2816767396926,1.15035901810347,-10.1579435276628,107,117,97,20
"31",30,-15.0667473803886,20,-15.0667473803886,"results/rawdata/Beam_ai107.csv",1,"107","20",20,107,-15.2816767396926,1.15035901810347,-10.1579435276628,107,117,97,20
"32",31,-16.118786333279,20,-16.118786333279,"results/rawdata/Beam_ai107.csv",1,"107","20",20,107,-15.2816767396926,1.15035901810347,-10.1579435276628,107,117,97,20
"33",32,-16.1945971550919,40,-16.1945971550919,"results/rawdata/Beam_ai107.csv",1,"107","40",40,107,-15.4207461471945,0.686829685102871,-14.1521683387262,107,127,87,40
"34",33,-15.8379378922595,40,-15.8379378922595,"results/rawdata/Beam_ai107.csv",1,"107","40",40,107,-15.4207461471945,0.686829685102871,-14.1521683387262,107,127,87,40
"35",34,-15.7726560337298,40,-15.7726560337298,"results/rawdata/Beam_ai107.csv",1,"107","40",40,107,-15.4207461471945,0.686829685102871,-14.1521683387262,107,127,87,40
"36",35,-15.8616561570784,40,-15.8616561570784,"results/rawdata/Beam_ai107.csv",1,"107","40",40,107,-15.4207461471945,0.686829685102871,-14.1521683387262,107,127,87,40
"37",36,-16.478281085213,40,-16.478281085213,"results/rawdata/Beam_ai107.csv",1,"107","40",40,107,-15.4207461471945,0.686829685102871,-14.1521683387262,107,127,87,40
"38",37,-15.4673730874838,40,-15.4673730874838,"results/rawdata/Beam_ai107.csv",1,"107","40",40,107,-15.4207461471945,0.686829685102871,-14.1521683387262,107,127,87,40
