,Control_scores,Strat_scores,Ascending_scores
0,51898.22074582728,53794.017147390136,53565.83735009058
1,52409.462172424304,53754.926142953496,45259.40348507316
2,54142.39468783039,55389.38822051722,49270.88190263081
3,50319.75608385693,54313.26721268223,52323.936310917125
4,52804.82607700038,58082.44172375554,46366.02456342955
5,52407.573515012205,50771.168779003245,47385.274341849596
6,57012.45449057662,58733.28769815421,49704.319912595834
7,52919.688641231565,55022.03360201343,49507.71711207429
8,55127.33495935253,55913.416967663215,44162.3542344923
9,53627.10614253838,54881.24357649101,56586.61050850015
10,51270.70110795297,53645.16944889084,41887.57697837146
11,49568.973748515025,54475.69743975997,50863.89946869293
12,54603.85650336848,52482.60062318743,54150.08064635591
13,53231.78602122802,53417.47593891664,56984.93343516592
14,56564.228982980196,51898.0668793634,48460.358819614885
15,53406.39253984659,52032.52874910462,50697.06297502737
16,53127.428865966365,52579.91940276389,45036.568293760996
17,52483.912105205905,55444.53562183484,51095.72268708196
18,51328.6115444805,54362.42435430082,46957.25556717175
19,56932.12601185764,42977.02138231908,50931.802153502584
20,52906.082520186515,51284.9522535464,50167.25900345412
21,51903.25720800178,51560.88809747995,53835.01270189623
22,51241.15384307761,49845.18300843857,43212.46399408859
23,50663.11763890049,52512.34517615256,38825.26695990253
24,51884.701766504615,51391.20281294271,48197.120583748605
25,48490.387770803725,51892.48813933545,56118.55568530828
26,53345.81802288181,48518.15600155336,54595.9460886667
27,52694.50925040148,51844.14675513334,54310.95226436843
28,50258.592619873554,54805.573397936096,54113.472729573994
29,47636.0975533329,50359.52721202431,51976.15655049462
30,52225.79895502445,52836.648018677624,52578.01412118477
31,56151.52070550804,53542.14178187549,44387.58215985974
32,42930.38366747853,56208.00993430769,47350.25758288139
33,54484.69944659687,49280.93613356377,48886.3836554539
34,45187.19224531483,52671.70500163728,52462.87030531233
35,52710.68957178573,46159.33358078746,49682.06859800881
36,45033.6696341323,51740.921617829976,50391.189754294974
37,50579.619780969384,53733.82028867255,38884.34004834585
38,54128.82849106329,55603.33711618463,50791.076675794284
39,53364.53091037298,55770.05300404489,44001.69134932651
40,57058.070766928155,49361.18617772274,51921.34017254281
41,53945.337649385576,56223.24340206228,56651.432010671335
42,53005.14850052404,53191.468262102884,52365.94535695
43,50092.16213031352,54725.68715513594,55136.21678649645
44,51096.073839173056,50124.965558387405,50690.91536523412
45,51387.05551942223,48994.5397236707,48278.0457543891
46,54993.104869624025,52004.9825170373,47895.81410532603
47,42572.48460880758,51964.96258969959,55476.712156972855
48,53125.050481211045,54516.03159815157,54476.99525664259
49,53477.02781130677,54578.77817586258,49578.91099855976
50,47491.366020173504,54115.78411214392,53168.12852684179
51,47379.122708443305,50785.89853367782,51054.72069630083
52,52005.24289431562,54412.149590518784,42960.81446177271
53,51925.625982306716,43423.39969828964,44398.5365882368
54,47012.32996129109,55164.32031731678,54449.11583169371
55,50727.04195494322,49889.80625045717,40948.61881111707
56,52768.34285266287,49440.11165618412,54873.448871208224
57,53536.96162994132,52294.6910463594,54471.290093875694
58,55424.78745868868,52252.247603835305,47071.135737467615
59,53135.860390235626,53124.48072154718,53781.44210153
60,50636.79556955925,52552.58100944715,54623.84049350367
61,49421.6126280032,55648.68102579918,55392.72530669963
62,56830.734889778694,53397.111819957776,49320.476700854284
63,54533.73068071064,52813.72942520049,46845.49769833292
